node_id,title,difficulty,topics,degree,acceptance
0,Two Sum,Easy,"Array, Hash Table",15,0.467
1,Add Two Numbers,Medium,"Linked List, Math, Recursion",13,0.35700000000000004
2,Longest Substring Without Repeating Characters,Medium,"Hash Table, Two Pointers, String, Sliding Window",12,0.315
3,Median of Two Sorted Arrays,Hard,"Array, Binary Search, Divide and Conquer",5,0.314
4,Longest Palindromic Substring,Medium,"String, Dynamic Programming",11,0.306
5,ZigZag Conversion,Medium,String,2,0.382
6,Reverse Integer,Easy,Math,4,0.259
7,String to Integer (atoi),Medium,"Math, String",6,0.157
8,Palindrome Number,Easy,Math,5,0.5
9,Regular Expression Matching,Hard,"String, Dynamic Programming, Backtracking",8,0.27399999999999997
10,Container With Most Water,Medium,"Array, Two Pointers",7,0.529
11,Integer to Roman,Medium,"Math, String",7,0.5710000000000001
12,Roman to Integer,Easy,"Math, String",7,0.57
13,Longest Common Prefix,Easy,String,2,0.36200000000000004
14,3Sum,Medium,"Array, Two Pointers",10,0.28300000000000003
15,3Sum Closest,Medium,"Array, Two Pointers",7,0.46299999999999997
16,Letter Combinations of a Phone Number,Medium,"String, Backtracking, Depth-first Search, Recursion",15,0.495
17,4Sum,Medium,"Array, Hash Table, Two Pointers",12,0.35100000000000003
18,Remove Nth Node From End of List,Medium,"Linked List, Two Pointers",8,0.359
19,Valid Parentheses,Easy,"String, Stack",8,0.4
20,Merge Two Sorted Lists,Easy,"Linked List, Recursion",9,0.564
21,Generate Parentheses,Medium,"String, Backtracking",6,0.657
22,Merge k Sorted Lists,Hard,"Linked List, Divide and Conquer, Heap",8,0.43
23,Swap Nodes in Pairs,Medium,"Linked List, Recursion",6,0.535
24,Reverse Nodes in k-Group,Hard,Linked List,3,0.45299999999999996
25,Remove Duplicates from Sorted Array,Easy,"Array, Two Pointers",6,0.46799999999999997
26,Remove Element,Easy,"Array, Two Pointers",10,0.495
27,Implement strStr(),Easy,"Two Pointers, String",7,0.353
28,Divide Two Integers,Medium,"Math, Binary Search",6,0.16899999999999998
29,Substring with Concatenation of All Words,Hard,"Hash Table, Two Pointers, String",8,0.264
30,Next Permutation,Medium,Array,8,0.33899999999999997
31,Longest Valid Parentheses,Hard,"String, Dynamic Programming",7,0.299
32,Search in Rotated Sorted Array,Medium,"Array, Binary Search",6,0.361
33,Find First and Last Position of Element in Sorted Array,Medium,"Array, Binary Search",7,0.375
34,Search Insert Position,Easy,"Array, Binary Search",5,0.429
35,Valid Sudoku,Medium,Hash Table,5,0.508
36,Sudoku Solver,Hard,"Hash Table, Backtracking",8,0.47
37,Count and Say,Medium,String,6,0.46299999999999997
38,Combination Sum,Medium,"Array, Backtracking",10,0.597
39,Combination Sum II,Medium,"Array, Backtracking",5,0.504
40,First Missing Positive,Hard,Array,6,0.33899999999999997
41,Trapping Rain Water,Hard,"Array, Two Pointers, Dynamic Programming, Stack",16,0.516
42,Multiply Strings,Medium,"Math, String",9,0.35100000000000003
43,Wildcard Matching,Hard,"String, Dynamic Programming, Backtracking, Greedy",9,0.255
44,Jump Game II,Medium,"Array, Greedy",8,0.317
45,Permutations,Medium,Backtracking,8,0.6709999999999999
46,Permutations II,Medium,Backtracking,8,0.498
47,Rotate Image,Medium,Array,4,0.605
48,Group Anagrams,Medium,"Hash Table, String",7,0.597
49,"Pow(x, n)",Medium,"Math, Binary Search",6,0.31
50,N-Queens,Hard,Backtracking,4,0.502
51,N-Queens II,Hard,Backtracking,4,0.605
52,Maximum Subarray,Easy,"Array, Divide and Conquer, Dynamic Programming",12,0.479
53,Spiral Matrix,Medium,Array,6,0.365
54,Jump Game,Medium,"Array, Greedy",6,0.35200000000000004
55,Merge Intervals,Medium,"Array, Sort",15,0.414
56,Insert Interval,Medium,"Array, Sort",9,0.353
57,Length of Last Word,Easy,String,2,0.335
58,Spiral Matrix II,Medium,Array,4,0.5820000000000001
59,Permutation Sequence,Hard,"Math, Backtracking",6,0.395
60,Rotate List,Medium,"Linked List, Two Pointers",10,0.319
61,Unique Paths,Medium,"Array, Dynamic Programming",7,0.563
62,Unique Paths II,Medium,"Array, Dynamic Programming",6,0.354
63,Minimum Path Sum,Medium,"Array, Dynamic Programming",7,0.565
64,Valid Number,Hard,"Math, String",9,0.16
65,Plus One,Easy,Array,6,0.42200000000000004
66,Add Binary,Easy,"Math, String",8,0.473
67,Text Justification,Hard,String,3,0.301
68,Sqrt(x),Easy,"Math, Binary Search",6,0.354
69,Climbing Stairs,Easy,Dynamic Programming,5,0.488
70,Simplify Path,Medium,"String, Stack",6,0.349
71,Edit Distance,Hard,"String, Dynamic Programming",8,0.47100000000000003
72,Set Matrix Zeroes,Medium,Array,3,0.446
73,Search a 2D Matrix,Medium,"Array, Binary Search",5,0.381
74,Sort Colors,Medium,"Array, Two Pointers, Sort",11,0.498
75,Minimum Window Substring,Hard,"Hash Table, Two Pointers, String, Sliding Window",15,0.36200000000000004
76,Combinations,Medium,Backtracking,3,0.579
77,Subsets,Medium,"Array, Backtracking, Bit Manipulation",12,0.6559999999999999
78,Word Search,Medium,"Array, Backtracking",7,0.371
