model,metric,mean,ci_low_2_5,ci_high_97_5
DARS+ calibrated,brier,0.22452692615731437,0.22233107728732587,0.22645736099766012
DARS,brier,0.2391000219624939,0.23642713648594915,0.24155428119319464
Glicko-2,brier,0.23067589195842927,0.2286510431906129,0.2327136899308475
Fixed Elo K=32,brier,0.2313256046423924,0.22903230690713045,0.23367643409858302
Static start,brier,0.23817734693218412,0.2355609212768884,0.2412418281816445
DARS+ calibrated,log_loss,0.6399035537017077,0.6356889298234026,0.6440509402083945
DARS,log_loss,0.6816968720795588,0.6739880170765137,0.6896021088404597
Glicko-2,log_loss,0.6546578643841167,0.6498818191479655,0.6605108790648836
Fixed Elo K=32,log_loss,0.6553259843121013,0.6507066739173752,0.6617628893596853
Static start,log_loss,0.6775318992699928,0.6712111321438362,0.6843369371584593
DARS+ calibrated,roc_auc,0.6319533521085677,0.6254762629474069,0.638543555226597
DARS,roc_auc,0.6103657886934979,0.6027358889710286,0.6186534440208429
Glicko-2,roc_auc,0.6155605865899322,0.6069741478645667,0.6220746761124897
Fixed Elo K=32,roc_auc,0.6124582053269354,0.6049476193577198,0.6210060657632572
Static start,roc_auc,0.608505286977882,0.600900693101109,0.6169883204075783
