user_id,accuracy,consistency,volatility,completion_rate,weak_topics,predicted_score
stu_fte455_001,0.704,0.665,15.56,0.845,Matrices & Determinants|Differentiation,56
stu_fte455_002,0.568,0.554,6.99,0.906,Integration|Model Evaluation|Normalization|Search Algorithms,52
stu_fte455_003,0.588,0.501,8.94,0.850,Normalization|Unsupervised Learning|Complexity Analysis,49
stu_fte455_004,0.580,0.530,11.42,0.947,Matrices & Determinants|Propositional & Predicate Logic|Verbal Reasoning,50
stu_fte455_005,0.640,0.407,12.20,0.836,SQL & Relational Algebra|Quantitative Aptitude|Arrays & Strings|Complexity Analysis,48
stu_fte455_006,0.656,0.710,14.35,0.919,None,56
stu_fte455_007,0.596,0.506,25.23,0.880,Matrices & Determinants|Differentiation,49
stu_fte455_008,0.628,0.368,9.28,0.943,Matrices & Determinants|Normalization|Arrays & Strings,48
stu_fte455_009,0.520,0.354,18.70,0.906,Matrices & Determinants|Probability Distributions|Unsupervised Learning|Integration,43
stu_fte455_010,0.628,0.597,6.08,0.899,Integration|Normalization,53
stu_fte455_011,0.664,0.775,8.94,0.865,Model Evaluation,57
stu_fte455_012,0.596,0.649,28.86,0.847,Supervised Learning,51
stu_fte455_013,0.636,0.452,8.45,0.842,Matrices & Determinants,49
stu_fte455_014,0.592,0.409,14.70,0.883,Supervised Learning|Propositional & Predicate Logic|Matrices & Determinants,47
stu_fte455_015,0.624,0.512,23.13,0.859,Propositional & Predicate Logic|Differentiation|Integration|Eigenvalues & Eigenvectors,49
stu_fte455_016,0.676,0.674,26.74,0.853,None,55
stu_fte455_017,0.644,0.403,14.39,0.929,Supervised Learning|Optimization,50
stu_fte455_018,0.632,0.215,13.07,0.916,Arrays & Strings|Integration,45
stu_fte455_019,0.548,0.749,20.05,0.940,Probability Distributions|Probability Basics|Matrices & Determinants|Arrays & Strings,52
stu_fte455_020,0.588,0.288,11.13,0.954,Optimization|Propositional & Predicate Logic|Matrices & Determinants|Integration,45
stu_fte455_021,0.620,0.677,11.87,0.919,Model Evaluation,54
stu_fte455_022,0.584,0.663,19.07,0.890,Arrays & Strings|Matrices & Determinants,52
stu_fte455_023,0.652,0.318,6.99,0.845,Propositional & Predicate Logic|Normalization,47
stu_fte455_024,0.552,0.600,12.17,0.842,Hypothesis Testing|Probability Distributions|Propositional & Predicate Logic|Search Algorithms,49
stu_fte455_025,0.600,0.438,16.37,0.842,Arrays & Strings|Optimization|Matrices & Determinants|Supervised Learning,47
stu_fte455_026,0.692,0.680,8.13,0.936,None,59
stu_fte455_027,0.560,0.816,19.10,0.862,Supervised Learning,54
stu_fte455_028,0.664,0.639,13.95,0.887,None,54
stu_fte455_029,0.560,0.433,17.76,0.862,Complexity Analysis|Probability Basics|Arrays & Strings,46
stu_fte455_030,0.624,0.393,17.03,0.842,Normalization|Unsupervised Learning,47
stu_fte455_031,0.628,0.853,19.43,0.896,None,57
stu_fte455_032,0.540,0.503,15.24,0.859,Search Algorithms|Supervised Learning,47
stu_fte455_033,0.632,0.590,9.74,0.862,Arrays & Strings,52
stu_fte455_034,0.564,0.509,15.30,0.903,Hypothesis Testing|Propositional & Predicate Logic|Unsupervised Learning|Probability Distributions,48
stu_fte455_035,0.648,0.543,18.58,0.947,None,52
stu_fte455_036,0.712,0.699,18.15,0.836,None,58
stu_fte455_037,0.516,0.609,6.45,0.836,Integration|Supervised Learning|Matrices & Determinants|Probability Distributions,48
stu_fte455_038,0.664,0.574,10.33,0.859,Propositional & Predicate Logic,53
stu_fte455_039,0.664,0.688,12.80,0.839,None,55
stu_fte455_040,0.592,0.345,18.87,0.943,Unsupervised Learning|Probability Distributions|Logical Reasoning,46
stu_fte455_041,0.684,0.621,10.16,0.893,None,56
stu_fte455_042,0.528,0.821,12.23,0.880,Supervised Learning|Eigenvalues & Eigenvectors|Model Evaluation|Hypothesis Testing,53
stu_fte455_043,0.600,0.360,9.35,0.887,Arrays & Strings|Matrices & Determinants,47
stu_fte455_044,0.596,0.736,15.70,0.940,Unsupervised Learning|Probability Basics|Probability Distributions,54
stu_fte455_045,0.580,0.633,10.51,0.958,Normalization|Differentiation|Unsupervised Learning,52
stu_fte455_046,0.700,0.637,18.11,0.940,Eigenvalues & Eigenvectors,56
stu_fte455_047,0.624,0.735,33.69,0.929,Complexity Analysis|Matrices & Determinants,54
stu_fte455_048,0.628,0.415,8.50,0.859,Normalization|Matrices & Determinants,48
stu_fte455_049,0.624,0.632,12.04,0.868,Probability Basics|Matrices & Determinants,52
stu_fte455_050,0.608,0.689,9.17,0.845,Complexity Analysis|Integration,53
stu_fte455_051,0.688,0.619,18.37,0.926,None,56
stu_fte455_052,0.596,0.524,8.17,0.850,Hypothesis Testing|Model Evaluation|Optimization|Eigenvalues & Eigenvectors,49
stu_fte455_053,0.628,0.580,8.15,0.936,None,52
stu_fte455_054,0.620,0.349,11.52,0.912,Arrays & Strings,47
stu_fte455_055,0.628,0.683,18.20,0.899,Hypothesis Testing|Matrices & Determinants,54
stu_fte455_056,0.636,0.772,13.79,0.877,SQL & Relational Algebra,56
stu_fte455_057,0.568,0.622,13.94,0.836,Optimization|Complexity Analysis|Unsupervised Learning|Model Evaluation,50
stu_fte455_058,0.648,0.776,13.61,0.856,None,56
stu_fte455_059,0.628,0.727,5.72,0.842,Normalization|Optimization|Matrices & Determinants,55
stu_fte455_060,0.636,0.395,15.64,0.887,Hypothesis Testing|Search Algorithms|Arrays & Strings|Unsupervised Learning,48
stu_fte455_061,0.700,0.751,32.07,0.868,None,56
stu_fte455_062,0.608,0.768,13.33,0.853,Propositional & Predicate Logic|Eigenvalues & Eigenvectors,54
stu_fte455_063,0.616,0.715,9.56,0.929,Trees & Graphs|Complexity Analysis|Arrays & Strings,55
stu_fte455_064,0.528,0.607,6.33,0.903,Normalization|Hypothesis Testing|Matrices & Determinants|Arrays & Strings,49
stu_fte455_065,0.596,0.350,15.75,0.896,Unsupervised Learning|Differentiation|Quantitative Aptitude,46
stu_fte455_066,0.676,0.576,28.80,0.958,Probability Basics|Logical Reasoning,53
stu_fte455_067,0.580,0.566,14.14,0.880,Integration|Arrays & Strings|Model Evaluation|Optimization,50
stu_fte455_068,0.660,0.549,14.98,0.933,Verbal Reasoning|Eigenvalues & Eigenvectors,53
stu_fte455_069,0.596,0.480,10.75,0.845,Hypothesis Testing|Matrices & Determinants,48
stu_fte455_070,0.644,0.409,10.90,0.853,Propositional & Predicate Logic|Arrays & Strings|Optimization,49
stu_fte455_071,0.680,0.633,13.75,0.951,Search Algorithms|Propositional & Predicate Logic,55
stu_fte455_072,0.556,0.634,21.45,0.845,Search Algorithms|Supervised Learning,49
stu_fte455_073,0.628,0.446,12.33,0.909,Hypothesis Testing|Quantitative Aptitude|Matrices & Determinants|Integration,49
stu_fte455_074,0.588,0.258,10.91,0.862,Differentiation|Probability Distributions,44
stu_fte455_075,0.632,0.786,8.67,0.833,Matrices & Determinants|Hypothesis Testing,56
stu_fte455_076,0.636,0.610,10.88,0.923,Integration|Model Evaluation,53
stu_fte455_077,0.588,0.758,16.16,0.859,Matrices & Determinants|Supervised Learning,54
stu_fte455_078,0.672,0.599,16.85,0.943,Arrays & Strings,54
stu_fte455_079,0.532,0.464,14.28,0.890,Optimization|Unsupervised Learning|Probability Distributions|Supervised Learning,46
stu_fte455_080,0.632,0.641,21.12,0.919,Matrices & Determinants,53
stu_fte455_081,0.656,0.773,8.83,0.906,None,57
stu_fte455_082,0.540,0.451,22.14,0.850,Eigenvalues & Eigenvectors|Unsupervised Learning|Verbal Reasoning|Matrices & Determinants,45
stu_fte455_083,0.636,0.618,12.35,0.874,Propositional & Predicate Logic|Probability Basics,53
stu_fte455_084,0.540,0.347,12.40,0.958,Hypothesis Testing|Matrices & Determinants|Propositional & Predicate Logic|Integration,45
stu_fte455_085,0.640,0.533,11.96,0.940,Model Evaluation|Integration,52
stu_fte455_086,0.696,0.384,9.01,0.958,None,51
stu_fte455_087,0.628,0.761,16.14,0.947,Propositional & Predicate Logic|Eigenvalues & Eigenvectors|Model Evaluation,57
stu_fte455_088,0.632,0.575,8.97,0.877,Integration|Probability Distributions,52
stu_fte455_089,0.576,0.439,23.32,0.962,Probability Distributions|Matrices & Determinants,47
stu_fte455_090,0.636,0.503,12.36,0.880,Integration|Normalization|Propositional & Predicate Logic,50
stu_fte455_091,0.628,0.545,22.84,0.847,Matrices & Determinants|Trees & Graphs|Arrays & Strings|Hypothesis Testing,50
stu_fte455_092,0.612,0.595,12.83,0.887,Model Evaluation|Matrices & Determinants|Eigenvalues & Eigenvectors|Arrays & Strings,51
stu_fte455_093,0.640,0.660,15.06,0.923,Propositional & Predicate Logic|Supervised Learning,54
stu_fte455_094,0.592,0.763,18.00,0.899,Probability Distributions|Model Evaluation,54
stu_fte455_095,0.584,0.748,17.49,0.874,Probability Basics|Complexity Analysis,53
stu_fte455_096,0.676,0.653,11.65,0.887,SQL & Relational Algebra|Integration|Normalization,55
stu_fte455_097,0.572,0.523,22.96,0.865,Optimization|Arrays & Strings|Trees & Graphs,48
stu_fte455_098,0.632,0.196,15.08,0.933,Search Algorithms,45
stu_fte455_099,0.568,0.341,12.34,0.839,Normalization|Probability Distributions|Differentiation,44
stu_fte455_100,0.588,0.680,15.63,0.899,Probability Distributions|Matrices & Determinants|SQL & Relational Algebra|Eigenvalues & Eigenvectors,52
stu_fte455_101,0.676,0.712,9.69,0.896,None,57
stu_fte455_102,0.508,0.288,19.68,0.868,Propositional & Predicate Logic|Trees & Graphs|Supervised Learning|Complexity Analysis,41
stu_fte455_103,0.660,0.692,10.80,0.909,Arrays & Strings,55
stu_fte455_104,0.628,0.541,9.77,0.880,Optimization|SQL & Relational Algebra,51
stu_fte455_105,0.580,0.511,27.05,0.833,Probability Distributions|Supervised Learning|Unsupervised Learning,47
stu_fte455_106,0.648,0.777,20.76,0.859,Model Evaluation,56
stu_fte455_107,0.588,0.425,19.85,0.909,SQL & Relational Algebra|Matrices & Determinants|Verbal Reasoning|Complexity Analysis,47
stu_fte455_108,0.592,0.409,10.54,0.947,Unsupervised Learning|Matrices & Determinants|Arrays & Strings,48
stu_fte455_109,0.608,0.352,30.65,0.836,Matrices & Determinants|Differentiation|Integration,45
stu_fte455_110,0.648,0.516,10.01,0.919,Matrices & Determinants|Normalization,52
stu_fte455_111,0.656,0.708,17.74,0.903,Eigenvalues & Eigenvectors,55
stu_fte455_112,0.572,0.470,6.60,0.919,Search Algorithms|Matrices & Determinants|Probability Basics,48
stu_fte455_113,0.604,0.629,8.56,0.868,Matrices & Determinants,52
stu_fte455_114,0.604,0.836,29.62,0.919,Matrices & Determinants|Search Algorithms,55
stu_fte455_115,0.652,0.730,11.48,0.893,None,56
stu_fte455_116,0.628,0.388,17.42,0.865,Model Evaluation|Normalization|Matrices & Determinants|Quantitative Aptitude,48
stu_fte455_117,0.620,0.692,26.01,0.906,SQL & Relational Algebra|Search Algorithms,53
stu_fte455_118,0.660,0.359,5.73,0.926,Matrices & Determinants,49
stu_fte455_119,0.608,0.551,20.49,0.929,Quantitative Aptitude|Normalization|Matrices & Determinants,50
stu_fte455_120,0.632,0.668,9.07,0.954,None,55
stu_fte455_121,0.660,0.616,8.88,0.865,Matrices & Determinants,54
stu_fte455_122,0.576,0.609,8.82,0.912,Propositional & Predicate Logic|Search Algorithms|Matrices & Determinants|Hypothesis Testing,51
stu_fte455_123,0.584,0.557,8.41,0.856,Search Algorithms|Hypothesis Testing|Supervised Learning|Eigenvalues & Eigenvectors,50
stu_fte455_124,0.636,0.685,10.35,0.936,Integration|Search Algorithms|Propositional & Predicate Logic,55
stu_fte455_125,0.628,0.258,11.25,0.903,Matrices & Determinants,46
stu_fte455_126,0.588,0.777,15.50,0.947,SQL & Relational Algebra|Supervised Learning,55
stu_fte455_127,0.516,0.563,8.05,0.859,Probability Basics|Hypothesis Testing|Unsupervised Learning|Matrices & Determinants,47
stu_fte455_128,0.680,0.558,12.25,0.936,Propositional & Predicate Logic|Normalization,54
stu_fte455_129,0.560,0.295,13.28,0.940,Differentiation|Propositional & Predicate Logic|Matrices & Determinants|Probability Distributions,44
stu_fte455_130,0.648,0.767,13.54,0.909,None,56
