source,target,weight,edge_type,skill_key
1002,1009,62,same_skill+sequence,106.0
1002,1013,72,same_skill+sequence,106.0
1002,14841,11,sequence,
1002,16,82,sequence,
1002,211479,1,same_skill,106.0
1002,2730,90,sequence,
1002,36725,1,same_skill,106.0
1002,988,80,sequence,
1002,991,52,same_skill+sequence,106.0
1002,997,68,same_skill+sequence,106.0
1009,1013,73,same_skill+sequence,106.0
1009,16,82,same_skill+sequence,106.0
1009,211479,1,same_skill,106.0
1009,248593,19,sequence,
1009,2730,80,same_skill+sequence,106.0
1009,36725,1,same_skill,106.0
1009,988,65,sequence,
1009,991,78,same_skill+sequence,106.0
1009,997,73,same_skill+sequence,106.0
1013,16,96,same_skill+sequence,106.0
1013,2730,107,same_skill+sequence,106.0
1013,988,105,same_skill+sequence,106.0
1013,991,74,same_skill+sequence,106.0
1013,997,108,same_skill+sequence,106.0
102474,102494,103,sequence,
102474,117,68,sequence,
102474,14841,1,same_skill,75.0
102474,1639,11,sequence,
102474,178,11,sequence,
102474,185878,1,same_skill,75.0
102474,185879,1,same_skill,75.0
102474,185882,1,same_skill,75.0
102474,2209,1,same_skill,75.0
102474,4059,79,sequence,
102474,41,58,sequence,
102474,435859,1,same_skill,75.0
102474,482,54,sequence,
102474,583738,1,same_skill,75.0
102474,8857,134,sequence,
102474,894,53,sequence,
102474,98874,173,sequence,
102494,109445,10,sequence,
102494,109466,42,sequence,
102494,114757,10,sequence,
102494,117,59,same_skill+sequence,75.0
102494,1639,20,sequence,
102494,178,12,sequence,
102494,185882,1,same_skill,75.0
102494,41,58,same_skill+sequence,75.0
102494,482,54,sequence,
102494,8857,35,sequence,
102494,894,65,same_skill+sequence,75.0
102494,89619,1,same_skill,75.0
102494,89632,1,same_skill,75.0
102494,89641,1,same_skill,75.0
102494,89646,1,same_skill,75.0
102494,98874,10,sequence,
1063,12353,1,same_skill,103.0
1063,283249,14,sequence,
1063,30298,253,sequence,
1063,3154,13,same_skill+sequence,103.0
1063,3158,1,same_skill,103.0
1063,342,17,sequence,
1063,409,14,sequence,
1063,45453,1,same_skill,103.0
1063,569689,1,same_skill,103.0
1063,85895,250,sequence,
107667,107681,15,sequence,
107667,107696,14,sequence,
107667,107703,11,sequence,
107667,107717,14,sequence,
107667,107724,15,sequence,
107667,107731,12,sequence,
107667,107738,16,sequence,
107667,107745,15,sequence,
107667,107753,12,sequence,
107667,107760,15,sequence,
107667,107767,12,sequence,
107667,107774,12,sequence,
107667,107781,17,sequence,
107667,107788,11,sequence,
107667,107802,16,sequence,
107667,107809,16,sequence,
107667,107816,14,sequence,
107667,107823,10,sequence,
107667,107830,15,sequence,
107667,107837,18,sequence,
107667,107844,14,sequence,
107667,107851,17,sequence,
107667,107865,14,sequence,
107667,107872,13,sequence,
107667,87835,1,same_skill,311.0
107667,87910,1,same_skill,311.0
107667,88294,41,sequence,
107667,88308,1,same_skill,311.0
107667,88318,1,same_skill,311.0
107667,88322,1,same_skill,311.0
