source,target,weight,edge_type,skill_key
1,634105,1,same_skill,103.0
1,668288,1,same_skill,103.0
1,668307,1,same_skill,103.0
1,668315,1,same_skill,103.0
1000,1001,42,sequence,
1000,102338,1,same_skill,106.0
1000,36474,1,same_skill,106.0
1000,36734,1,same_skill,106.0
1000,36736,1,same_skill,106.0
1000,985,1,same_skill,106.0
1000,987,1,same_skill,106.0
1000,998,1,same_skill,106.0
1000,999,64,same_skill+sequence,106.0
1001,12339,1,same_skill,106.0
1001,208643,1,same_skill,106.0
1001,36733,1,same_skill,106.0
1001,81100,1,same_skill,106.0
1001,986,1,same_skill,106.0
1001,987,1,same_skill,106.0
1001,989,1,same_skill,106.0
1001,990,1,same_skill,106.0
1002,1009,51,same_skill+sequence,106.0
1002,1013,65,same_skill+sequence,106.0
1002,102317,1,same_skill,106.0
1002,16,70,sequence,
1002,211479,1,same_skill,106.0
1002,2730,83,sequence,
1002,36724,1,same_skill,106.0
1002,36725,1,same_skill,106.0
1002,988,59,sequence,
1002,991,51,same_skill+sequence,106.0
1002,997,64,same_skill+sequence,106.0
1002,998,18,sequence,
1003,1004,1,same_skill,106.0
1003,1005,1,same_skill,106.0
1003,102481,1,same_skill,106.0
1003,115283,1,same_skill,106.0
1003,115284,1,same_skill,106.0
1003,4076,1,same_skill,106.0
1004,1005,1,same_skill,106.0
1004,1006,1,same_skill,106.0
1004,102481,1,same_skill,106.0
1004,115283,1,same_skill,106.0
1004,115284,1,same_skill,106.0
1004,4076,1,same_skill,106.0
1005,1006,1,same_skill,106.0
1005,102481,1,same_skill,106.0
1005,115283,1,same_skill,106.0
1005,115284,1,same_skill,106.0
1005,36483,1,same_skill,106.0
1005,4076,1,same_skill,106.0
1006,1011,1,same_skill,106.0
1006,1012,1,same_skill,106.0
1006,102481,1,same_skill,106.0
1006,112692,1,same_skill,106.0
1006,115284,1,same_skill,106.0
1006,36483,1,same_skill,106.0
1007,1008,92,same_skill+sequence,106.0
1007,1009,91,sequence,
1007,115282,1,same_skill,106.0
1007,39687,1,same_skill,106.0
1007,39690,1,same_skill,106.0
1007,402944,1,same_skill,106.0
1007,81096,1,same_skill,106.0
1007,81098,1,same_skill,106.0
1007,984,1,same_skill,106.0
1008,115282,1,same_skill,106.0
1008,36474,1,same_skill,106.0
1008,39687,1,same_skill,106.0
1008,402944,1,same_skill,106.0
1008,81096,1,same_skill,106.0
1008,81098,1,same_skill,106.0
1008,984,1,same_skill,106.0
1009,1013,57,same_skill+sequence,106.0
1009,16,66,same_skill+sequence,106.0
1009,211479,1,same_skill,106.0
1009,248593,19,sequence,
1009,2730,68,same_skill+sequence,106.0
1009,36725,1,same_skill,106.0
1009,988,54,sequence,
1009,991,61,same_skill+sequence,106.0
1009,997,60,same_skill+sequence,106.0
1010,1011,25,same_skill+sequence,106.0
1010,1012,1,same_skill,106.0
1010,1013,26,sequence,
1010,112691,1,same_skill,106.0
1010,112692,1,same_skill,106.0
1010,12339,1,same_skill,106.0
1010,14,1,same_skill,106.0
1010,15,1,same_skill,106.0
1010,989,1,same_skill,106.0
1011,1012,25,same_skill+sequence,106.0
1011,102481,1,same_skill,106.0
1011,112692,1,same_skill,106.0
1011,115284,1,same_skill,106.0
1011,15,1,same_skill,106.0
1011,36483,1,same_skill,106.0
1012,102481,1,same_skill,106.0
1012,112692,1,same_skill,106.0
1012,14,1,same_skill,106.0
1012,15,1,same_skill,106.0
1012,36483,1,same_skill,106.0
1013,115282,22,sequence,
1013,16,84,same_skill+sequence,106.0
1013,2730,92,same_skill+sequence,106.0
1013,988,87,same_skill+sequence,106.0
1013,991,66,same_skill+sequence,106.0
1013,997,93,same_skill+sequence,106.0
102127,367343,1,same_skill,317.0
102127,514206,1,same_skill,317.0
102127,514207,1,same_skill,317.0
102127,514253,1,same_skill,317.0
102313,102317,29,sequence,
102313,338549,1,same_skill,92.0
102313,90669,1,same_skill,92.0
102313,90739,1,same_skill,92.0
102313,90743,1,same_skill,92.0
102313,90745,1,same_skill,92.0
102313,90748,1,same_skill,92.0
102313,91500,1,same_skill,92.0
102313,94075,1,same_skill,92.0
102313,98538,18,sequence,
102314,29043,1,same_skill,63.0
102314,340754,1,same_skill,63.0
102314,340781,1,same_skill,63.0
102314,340782,1,same_skill,63.0
102314,40428,1,same_skill,63.0
102314,44946,1,same_skill,63.0
102314,524406,1,same_skill,63.0
102314,84461,1,same_skill,63.0
102315,102317,19,sequence,
102315,12809,1,same_skill,92.0
102315,12843,1,same_skill,92.0
102315,14795,1,same_skill,92.0
102315,172827,1,same_skill,92.0
102315,239,1,same_skill,92.0
102315,280794,1,same_skill,92.0
102315,343147,1,same_skill,92.0
102315,90562,1,same_skill,92.0
102315,98538,50,sequence,
102315,98543,74,sequence,
102315,98655,78,sequence,
102315,98678,20,sequence,
102317,102329,31,sequence,
102317,102336,36,sequence,
102317,12335,1,same_skill,106.0
102317,211479,1,same_skill,106.0
102317,36723,1,same_skill,106.0
102317,36724,1,same_skill,106.0
102317,36725,1,same_skill,106.0
102317,39660,1,same_skill,106.0
102317,98538,45,sequence,
102317,98655,19,sequence,
102317,98678,27,sequence,
102317,991,1,same_skill,106.0
102328,108873,59,sequence,
102328,109026,63,sequence,
102328,525382,1,same_skill,24.0
102328,71772,1,same_skill,24.0
102328,71793,1,same_skill,24.0
102328,88956,1,same_skill,24.0
102328,88957,1,same_skill,24.0
102328,88960,1,same_skill,24.0
102328,88962,1,same_skill,24.0
102328,88964,1,same_skill,24.0
102329,102336,51,sequence,
102329,102338,19,sequence,
102329,178756,1,same_skill,69.0
102329,341696,1,same_skill,69.0
102329,341701,1,same_skill,69.0
102329,341713,1,same_skill,69.0
102329,341735,1,same_skill,69.0
102329,37101,1,same_skill,69.0
102329,559893,1,same_skill,69.0
102329,576648,1,same_skill,69.0
102331,102352,37,sequence,
102331,108873,32,sequence,
102331,337670,1,same_skill,5.0
102331,517751,1,same_skill,5.0
102331,523,1,same_skill,5.0
102331,523404,1,same_skill,5.0
102331,523456,1,same_skill,5.0
